fec_proceso;cod_nominalpago;cod_nominalrecib;imp_npvpago;imp_npvrec;cod_cur_pl;cod_numoperfront;imp_irdfpv1;imp_irdfpv2;imp_csfi;imp_csnf;imp_fe;imp_fefi;imp_fpnfcp;imp_fpnfrv;imp_ftfi;imp_delta;imp_gamma;imp_rho;imp_theta;imp_vega;imp_zcsnv;cod_counterpart;cod_cntrplb;xti_isinternal;imp_lqty;cod_portfolio;imp_rtccp0;imp_rtccp1;xti_rtpr0;xti_rtpr1;cod_family;cod_grupo;cod_tipoproducto;imp_mvnfcp;imp_mvnfrv;cod_tipoperacion;fec_expirydate;fec_lastflow;cod_status;fec_tetrn;fec_initialpay;cod_seccod;imp_nominal;cod_strument;cod_cd;imp_rtacr0;imp_rtacr1;imp_iqty;xti_delivsettle;cod_strtgy;cod_accsct;cod_operaorigen;cod_lastmrktoper;fec_lastmrktoper;cod_dtefst;cod_valstat;cod_entity;imp_volatility;imp_forwardpago;imp_pot;imp_nomientrfs;imp_nomientrfx;imp_nomisalidafs;imp_nomisalidafx;imp_fmv;imp_nonfmv;cod_divisanomi;imp_tipocambio;cod_diventradafx;cod_divsalidafx;cod_csatype;cod_nomvivopago;cod_nomvivorecibo;fec_nextfixrecibo;fec_nextfixpago;cod_nextfixpatarec;cod_nextfixpatapago;cod_m_collagcat;imp_pl_csnfcp2;imp_pl_csnfrv2;imp_pl_rvu2;cod_pl_inscur;cod_vegaquot;imp_total_ffc;cod_tp_dtefxgf;cod_tp_dtefxgl;cod_tp_dtefst;cod_tp_dtelst;imp_tp_rtamc00;imp_tp_rtamc10;cod_tp_rtdpn00;cod_tp_rtdpn10;cod_tp_rtdxc00;cod_tp_rtdxc10;cod_tp_rtdxg00;cod_tp_rtdxg10;imp_tp_rtfxc00;imp_tp_rtfxc10;cod_model;fec_dtesys;cod_tp_nomcur;cod_divpago;cod_divrecibo;xti_compraventa;fec_ultfixpago;fec_ultfixrecibo;imp_mvpago;imp_mvrecibo;imp_mvcontrasala;imp_mvcontraeur;imp_plpago;imp_plrecibo;imp_plcontrasala;imp_plcontraeur;cod_aplicacionfront;ind_adj;des_ficorig;xti_murex;cod_region
08/04/2024;0;0;0;0;USD;37650808;0;0;153.593328;1775.493346;0;0;0;0;0;0;0;0;0;0;0;CRDBTBCLP;;Y;0;CHILECAMCLP;0;0;R;P;IRD;FRA;;0;0;S;29/10/2020;29/04/2021;DEAD;13/10/2020;15/10/2020;;35000000;USD LIBOR 6M;1;0;0;35000000;;;;0;EXP;12/12/2022;29/10/2020;Confirmed;001820997;0;0;0;0;35000000;0;35000000;0;0;;0.922027;USD;USD;INTERNAL;0;0;;;0;0;1005;0;1775.493346;0;USD;;0;27/10/2020;27/10/2020;29/10/2020;29/04/2021;0;0;;;;;;;0;0;;13/10/2020;USD;0;0;S;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;0;0;GBP;45694346;0;0;-190.07105;-2595.10328;0;0;0;0;0;0;0;0;0;0;0;LIFFE;LONDON INTERNATIONAL FINANCIAL FUTURES AND OPTIONS EXCHANGE;N;0;IND FTSE;0;0;;;EQD;FUT;;0;0;B;17/06/2022;17/06/2022;DEAD;19/05/2022;20/05/2022;;72760;GBP-FTSE100 FUT;1;0;0;1;C;;;0;EXP;17/06/2022;19/05/2022;Confirmed;001820997;0;0;0;0;72760;72760;0;0;0;;1.165843;;;COLLATERAL CCP;0;0;;;0;0;2009;-2595.10328;0;0;GBP;;0;;;19/05/2022;17/06/2022;0;0;;;;;;;0;0;;19/05/2022;GBP;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;0;0;0;EUR;40273510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RMJUAMS;DOURO FINANCE B V;N;0;TRIGGER IND2;0;0;P;R;IRD;CS;;0;0;B;24/09/2029;24/09/2029;DEAD;23/04/2021;27/04/2021;;5000000;EUR/GBP V3M/V3M;1;0;0;5000000;;ST-152459;;0;RPL_M;23/04/2021;16/07/2021;Confirmed;001820997;0;0;0;0;5000000;0;4347000;0;0;GBP;1;GBP;EUR;NO COLLATERAL;0;0;;;0;0;1004;0;0;0;EUR;;0;;;16/07/2021;24/09/2029;0;0;;;;;;;0;0;;23/04/2021;EUR;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;0;0;EUR;41451113;88198.07;0;-3410.06848;-82269.9774;0;0;0;0;-19.932763;1013.99588;0;-0.48327;-0.01268;0;-0.04;BOLSA;CONTRAPARTIDA GENERICA PARA OPERAC: DE VALORES;N;1014;HEDGEACC;0;0;;;EQD;EQUIT;;88218;0;B;23/07/2021;23/07/2021;LIVE;23/07/2021;27/07/2021;;89256.44;EUR-SASY.PA;1;0;0;1014;D;;;0;;;23/07/2021;Confirmed;001820997;0;0;0;0;89256.44;89256.44;0;88198.067237;88218;;1;;;EMPTY;0;1014;;;0;0;2018;-89256.4374;6986.46;6986.46;EUR;;0;;;23/07/2021;23/07/2021;0;0;;;;;;;0;0;;23/07/2021;EUR;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;50000000;0;50417948.12;USD;55637775;50403025.36;0;-288795.679255;-50000000;0;0;0;0;-14922.754988;-4355.8458;0;0;7462.44792;0;-4502.09;FINP_REPO;;Y;50000000;FINPDERIVBANK;50000000;0;R;P;IRD;LN_BR;;50417948.116663;0;B;28/02/2025;28/02/2025;LIVE;20/02/2024;09/08/2023;;50000000;USD;1;307500;0;50000000;;;;0;;;29/02/2024;Confirmed;001826318;0;0;0;0;50000000;0;50000000;50403025.361675;50417948.116663;;0.922027;USD;USD;INTERNAL;0;50000000;;;0;0;1005;-50000000;0;0;USD;;0;;;29/02/2024;28/02/2025;2737500;0;;;;;;;0;0;;20/02/2024;USD;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;0;0;EUR;55252371;0;0;24.377247;35.276135;0;0;0;0;0;0;0;-0.0098;0;0;0;001820066;BANCO BILBAO VIZCAYA ARGENTARIA S.A.;N;0;FXHKGSPOT;0;0;;;CURR;FXD;FXD;0;0;B;30/01/2024;30/01/2024;DEAD;26/01/2024;;;9613.83;EUR/USD;1;0;0;9613.83;D;;;0;EXP;30/01/2024;30/01/2024;Confirmed;001820997;0;0;0;0;9613.83;0;8828.94;0;0;USD;1;USD;EUR;NO COLLATERAL;0;0;;;0;0;1004;35.276135;0;0;EUR;EUR;0;;;30/01/2024;30/01/2024;0;0;;;;;;;0;0;;26/01/2024;USD;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA4;3;EU
08/04/2024;0;0;0;0;EUR;53797155;0;0;81.03467;5274.69763;0;0;0;0;0;0;0;0;0;0;0;MEFF;MEFF;N;0;MAD CESTC;0;0;;;EQD;FUT;;0;0;B;17/11/2023;17/11/2023;DEAD;17/10/2023;18/10/2023;;92350;EUR-IBEX 35 FUT;1;0;0;1;C;;;0;EXP;17/11/2023;17/10/2023;Confirmed;001820997;0;0;0;0;92350;92350;0;0;0;;1;;;COLLATERAL CCP;0;0;;;0;0;2009;5274.69763;0;0;EUR;;0;;;17/10/2023;17/11/2023;0;0;;;;;;;0;0;;17/10/2023;EUR;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;0;0;0;USD;8031198;0;0;-87199.52062;706510.416667;0;0;0;0;0;0;0;0;0;0;0;BBSINYC;BBVA NEW YORK SECURITIES INC;N;0;MAD_LATBOND;0;0;R;P;IRD;BOND;;0;0;B;08/02/2022;08/02/2022;DEAD;02/07/2014;08/07/2014;;2500000;BANCO3.875 0222;1;0;0;2500000;;;;0;EXP;08/02/2022;08/02/2012;Confirmed;001820997;0;0;0;0;2500000;0;0;0;0;;0.922027;USD;USD;EMPTY;0;0;;;0;0;2018;-28125;734635.416667;0;USD;;0;;;08/02/2012;08/02/2022;0;0;;;;;;;0;0;;02/07/2014;USD;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA1;3;EU
08/04/2024;0;0;0;0;USD;54525241;0;0;-880.694202;-47537.07;-4.55;-0.085513;0;0;0;0;0;0;0;0;0;288810096;GOLDMAN SACHS AND CO;N;0;Q_ESG_EUR_GLOBA;0;0;;;EQD;EQUIT;;0;0;B;04/12/2023;04/12/2023;DEAD;04/12/2023;06/12/2023;;48118.82;USD-WMB.N;1;0;0;1300;D;;;0;NET;29/12/2023;04/12/2023;Confirmed;001820997;0;0;0;0;48118.82;48118.82;0;0;0;;0.922027;;;EMPTY;0;0;;;0;0;2018;-48118.82;581.75;0;USD;;0;;;04/12/2023;04/12/2023;0;0;;;;;;;0;0;;04/12/2023;USD;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;EUROPA3;3;EU
08/04/2024;0;0;0;0;GBP;38949348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BOSEPAR;BOFA SECURITIES EUROPE S.A.;N;0;DPSSG_TR_GBP;0;0;P;R;EQD;RTRN;SWAP;0;0;B;24/02/2021;24/02/2021;DEAD;19/01/2021;19/01/2021;;-200000003.07;ML 190121 IND;1;0;0;2000000.03074;;;;38947583;RPL;26/01/2021;19/01/2021;Confirmed;001820997;0;0;0;2000000.03;-200000003.07;-200000003.07;2000000.03;0;0;GBP;1.165843;GBP;GBP;COLLATERAL ESTR;0;0;;;0;0;2022;0;0;0;GBP;;0;19/01/2021;22/02/2021;19/01/2021;24/02/2021;0;0;;;;;;;0;0;;19/01/2021;GBP;0;0;B;;;0;0;0;0;0;0;0;0;MUREX;;;3;EU
